Time	Spindle-BC-1	Spindle-BC-2	Spindle-BC-3	Spindle-BC-4	Spindle-BC-5	Spindle-BC-6	Spindle-BC-7	Spindle-BC-8	Spindle-BC-9	Spindle-BC-10	Spindle-BC-11	Spindle-BC-12	Spindle-BC-13	Spindle-BC-14	Spindle-BC-15
   	Spindle.MotorHeatSrcStator	Spindle.MotorHeatSrcRotor	Spindle.Bearing1HeatSrcOuter	Spindle.Bearing1HeatSrcInner	Spindle.Bearing1HTC	Spindle.Bearing2HeatSrcOuter	Spindle.Bearing2HeatSrcInner	Spindle.Bearing2HTC	Spindle.Bearing3HeatSrcOuter	Spindle.Bearing3HeatSrcInner	Spindle.Bearing3HTC	Spindle.HeatSrcAirgap	Spindle.HeatSrcCair	Spindle.CoolantHTC	Spindle.CoolantTemperature
[s]	[W]	[W]	[W]	[W]	[W/K]	[W]	[W]	[W/K]	[W]	[W]	[W/K]	[W]	[W]	[W/K]	[K]
-	NEUMANN	NEUMANN	NEUMANN	NEUMANN	ROBIN	NEUMANN	NEUMANN	ROBIN	NEUMANN	NEUMANN	ROBIN	NEUMANN	NEUMANN	ROBIN	ROBIN
85.00	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	465.7571418292868	293.1500000000003
86.00	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	465.7569203214652	293.15000000000015
87.00	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	465.75697264622346	293.1500000000001
88.00	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	465.7571418292868	293.1500000000003
89.00	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	465.7569203214652	293.15000000000015
90.00	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	465.75697264622346	293.1500000000001
91.00	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	465.7571418292868	293.1500000000003
92.00	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	465.7569203214652	293.15000000000015
93.00	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	465.75697264622346	293.1500000000001
94.00	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	465.7571418292868	293.1500000000003
95.00	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	465.7569203214652	293.15000000000015
96.00	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	465.75697264622346	293.1500000000001
97.00	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	465.7571418292868	293.1500000000003
98.00	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	465.7569203214652	293.15000000000015
99.00	0.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	465.75697264622346	293.1500000000001
100.00	54.427806917392665	0.7315536748827689	195.38489727044583	195.38489727044583	2.1405077416130514	152.45830562340248	152.45830562340248	2.1405077416130514	168.8327093241988	168.8327093241988	2.1405077416130514	132.4755860380378	0.0	465.7571418292868	293.1500000000003
101.00	54.42781763254723	0.730443447304252	195.23744641860836	195.23744641860836	2.1405077416130514	152.310854771565	152.310854771565	2.1405077416130514	168.6852584723613	168.6852584723613	2.1405077416130514	132.4755860380378	0.0	465.7569203214652	293.16079342118746
102.00	54.427838813130535	0.7282515801866679	194.94601188219633	194.94601188219633	2.1405077416130514	152.01942023515298	152.01942023515298	2.1405077416130514	168.39382393594929	168.39382393594929	2.1405077416130514	132.4755860380378	0.0	465.75697264622346	293.19356596403753
103.00	54.42785938153035	0.7261280708270773	194.66324747097946	194.66324747097946	2.1405077416130514	151.73665582393608	151.73665582393608	2.1405077416130514	168.1110595247324	168.1110595247324	2.1405077416130514	132.4755860380378	0.0	465.7571418292868	293.23681990430583
104.00	54.4278792919601	0.724078119394984	194.38988525807025	194.38988525807025	2.1405077416130514	151.46329361102687	151.46329361102687	2.1405077416130514	167.8376973118232	167.8376973118232	2.1405077416130514	132.4755860380378	0.0	465.7569203214652	293.2779940240428
105.00	54.427898687293286	0.7220850004318697	194.12373014500778	194.12373014500778	2.1405077416130514	151.19713849796443	151.19713849796443	2.1405077416130514	167.57154219876074	167.57154219876074	2.1405077416130514	132.4755860380378	0.0	465.75697264622346	293.3174796067066
106.00	54.42791763917816	0.7201424284983168	193.86397103823512	193.86397103823512	2.1405077416130514	150.93737939119177	150.93737939119177	2.1405077416130514	167.31178309198805	167.31178309198805	2.1405077416130514	132.4755860380378	0.0	465.7571418292868	293.3563352449487
107.00	54.427936137714454	0.7182496661542106	193.61053496842172	193.61053496842172	2.1405077416130514	150.68394332137836	150.68394332137836	2.1405077416130514	167.05834702217467	167.05834702217467	2.1405077416130514	132.4755860380378	0.0	465.7569203214652	293.3943597151744
108.00	54.427954209353814	0.7164055100754135	193.3632856227387	193.3632856227387	2.1405077416130514	150.43669397569533	150.43669397569533	2.1405077416130514	166.8110976764916	166.8110976764916	2.1405077416130514	132.4755860380378	0.0	465.75697264622346	293.4314793088485
109.00	54.42797185176881	0.7146084495508387	193.1220439133084	193.1220439133084	2.1405077416130514	150.19545226626505	150.19545226626505	2.1405077416130514	166.56985596706136	166.56985596706136	2.1405077416130514	132.4755860380378	0.0	465.7571418292868	293.4678214558694
110.00	54.427989083922	0.7128571476567059	192.88665277146154	192.88665277146154	2.1405077416130514	149.9600611244182	149.9600611244182	2.1405077416130514	166.3344648252145	166.3344648252145	2.1405077416130514	132.4755860380378	0.0	465.7569203214652	293.5033573048301
111.00	54.42800590833186	0.7111503084558352	192.6569592402353	192.6569592402353	2.1405077416130514	149.73036759319194	149.73036759319194	2.1405077416130514	166.10477129398825	166.10477129398825	2.1405077416130514	132.4755860380378	0.0	465.75697264622346	293.5381013727002
112.00	54.42802234427474	0.7094866533769278	192.43281154112142	192.43281154112142	2.1405077416130514	149.50621989407807	149.50621989407807	2.1405077416130514	165.88062359487438	165.88062359487438	2.1405077416130514	132.4755860380378	0.0	465.7571418292868	293.57209266276254
113.00	54.42803839789726	0.7078649671774188	192.21406516909624	192.21406516909624	2.1405077416130514	149.2874735220529	149.2874735220529	2.1405077416130514	165.6618772228492	165.6618772228492	2.1405077416130514	132.4755860380378	0.0	465.7569203214652	293.6053293770512
114.00	54.42805407299895	0.7062840673675023	192.0005789029859	192.0005789029859	2.1405077416130514	149.07398725594254	149.07398725594254	2.1405077416130514	165.44839095673885	165.44839095673885	2.1405077416130514	132.4755860380378	0.0	465.75697264622346	293.6378366916343
115.00	54.42806937950836	0.7047428088006884	191.79221553090912	191.79221553090912	2.1405077416130514	148.86562388386577	148.86562388386577	2.1405077416130514	165.24002758466207	165.24002758466207	2.1405077416130514	132.4755860380378	0.0	465.7571418292868	293.6696306999457
116.00	54.428084335094844	0.7032400877148839	191.5888424659705	191.5888424659705	2.1405077416130514	148.66225081892713	148.66225081892713	2.1405077416130514	165.0366545197234	165.0366545197234	2.1405077416130514	132.4755860380378	0.0	465.7569203214652	293.700723066077
117.00	54.42809894758496	0.7017748327423285	191.39033049273314	191.39033049273314	2.1405077416130514	148.4637388456898	148.4637388456898	2.1405077416130514	164.83814254648607	164.83814254648607	2.1405077416130514	132.4755860380378	0.0	465.75697264622346	293.731133967883
118.00	54.428113207848476	0.7003460094272871	191.19655439435462	191.19655439435462	2.1405077416130514	148.26996274731127	148.26996274731127	2.1405077416130514	164.64436644810755	164.64436644810755	2.1405077416130514	132.4755860380378	0.0	465.7571418292868	293.7608752046565
119.00	54.42812714658847	0.6989526149943723	191.00739260037346	191.00739260037346	2.1405077416130514	148.0808009533301	148.0808009533301	2.1405077416130514	164.4552046541264	164.4552046541264	2.1405077416130514	132.4755860380378	0.0	465.7569203214652	293.78996297764644
120.00	54.42814076632016	0.6975936786412464	190.82272690792973	190.82272690792973	2.1405077416130514	147.89613526088638	147.89613526088638	2.1405077416130514	164.2705389616827	164.2705389616827	2.1405077416130514	132.4755860380378	0.0	465.75697264622346	293.8184118265216
121.00	54.42815406361932	0.6962682613411626	190.64244262098697	190.64244262098697	2.1405077416130514	147.71585097394362	147.71585097394362	2.1405077416130514	164.09025467473992	164.09025467473992	2.1405077416130514	132.4755860380378	0.0	465.7571418292868	293.8462349499615
122.00	54.428167050270105	0.694975452771772	190.46642828944525	190.46642828944525	2.1405077416130514	147.5398366424019	147.5398366424019	2.1405077416130514	163.9142403431982	163.9142403431982	2.1405077416130514	132.4755860380378	0.0	465.7569203214652	293.87344726582836
123.00	54.42817974453713	0.6937143705981893	190.29457560489843	190.29457560489843	2.1405077416130514	147.36798395785507	147.36798395785507	2.1405077416130514	163.74238765865138	163.74238765865138	2.1405077416130514	132.4755860380378	0.0	465.75697264622346	293.9000614053284
124.00	54.42819213738248	0.6924841609904909	190.12677932915466	190.12677932915466	2.1405077416130514	147.2001876821113	147.2001876821113	2.1405077416130514	163.57459138290758	163.57459138290758	2.1405077416130514	132.4755860380378	0.0	465.7571418292868	293.9260910385809
125.00	54.42820425948433	0.6912839952592386	189.9629372308587	189.9629372308587	2.1405077416130514	147.03634558381535	147.03634558381535	2.1405077416130514	163.41074928461165	163.41074928461165	2.1405077416130514	132.4755860380378	0.0	465.7569203214652	293.95154893942896
126.00	54.428216098315346	0.6901130714100702	189.80294988866578	189.80294988866578	2.1405077416130514	146.87635824162243	146.87635824162243	2.1405077416130514	163.2507619424187	163.2507619424187	2.1405077416130514	132.4755860380378	0.0	465.75697264622346	293.97644766120396
127.00	54.42822765563477	0.6889706113820303	189.64672065478285	189.64672065478285	2.1405077416130514	146.72012900773947	146.72012900773947	2.1405077416130514	163.09453270853575	163.09453270853575	2.1405077416130514	132.4755860380378	0.0	465.7571418292868	294.00079967831743
128.00	54.42823895145521	0.6878558605490163	189.49415563849678	189.49415563849678	2.1405077416130514	146.56756399145343	146.56756399145343	2.1405077416130514	162.94196769224973	162.94196769224973	2.1405077416130514	132.4755860380378	0.0	465.7569203214652	294.0246168816627
